
09/06/2025 15:52:29 | DEBUG | Attempting to authenticate user: admin | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Password verified for user: admin | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Authentication successful for user ID: 1 | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Session variables set for user: System Admin | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Activity logged to database for user ID: 1 | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Preparing to redirect to index.php | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:04 | DEBUG | Login page loaded | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:04 | DEBUG | Request Method: GET | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Login page loaded | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Request Method: POST | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | POST data: ["action","username","password"] | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Login attempt for username: admin | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Attempting to authenticate user: admin | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Password verified for user: admin | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Authentication successful for user ID: 1 | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Session variables set for user: System Admin | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Activity logged to database for user ID: 1 | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 16:39:08 | DEBUG | Preparing to redirect to index.php | IP: 172.69.224.147 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:32:43 | DEBUG | Login page loaded | IP: 172.70.86.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:32:43 | DEBUG | Request Method: GET | IP: 172.70.86.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:55 | DEBUG | Login page loaded | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:55 | DEBUG | Request Method: GET | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Login page loaded | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Request Method: POST | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | POST data: ["action","username","password"] | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Login attempt for username: admin | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Attempting to authenticate user: admin | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Password verified for user: admin | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Authentication successful for user ID: 1 | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Session variables set for user: System Admin | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Activity logged to database for user ID: 1 | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:38:59 | DEBUG | Preparing to redirect to index.php | IP: 141.101.98.81 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 07:43:52 | DEBUG | Login page loaded | IP: 162.158.49.123 | User-Agent: Plesk screenshot bot https://support.plesk.com/hc/en-us/articles/10301006946066
10/06/2025 07:43:52 | DEBUG | Request Method: GET | IP: 162.158.49.123 | User-Agent: Plesk screenshot bot https://support.plesk.com/hc/en-us/articles/10301006946066
10/06/2025 10:37:37 | DEBUG | Login page loaded | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
